participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._round_number,participant._current_page_name,participant.ip_address,participant.time_started,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,player.id_in_group,player.decisions,player.decisions_initial,player.decisions_final,player.show_ai,player.points,player.decisions_result,player.subsession_id,player.group_id,player.payoff,group.id_in_subsession,group.subsession_id,subsession.round_number,session.code,session.label,session.experimenter_name,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo
1,97w8nlvk,,0,80,80,unnamed_project,10,EndOfExperiment,150.210.231.20,2018-09-24 15:32:49.351542+00:00,1,,,430,1,"{""1227988"":""Approve"",""1325134"":""Approve"",""1347768"":""Reject"",""1508178"":""Reject"",""1531491"":""Approve"",""1683861"":""Reject"",""1866661"":""Reject"",""2175528"":""Reject"",""3105437"":""Reject"",""3154245"":""Approve""}","{""1227988"":""Approve"",""1325134"":""Approve"",""1347768"":""Reject"",""1508178"":""Reject"",""1531491"":""Approve"",""1683861"":""Reject"",""1866661"":""Reject"",""2175528"":""Reject"",""3105437"":""Reject"",""3154245"":""Approve""}",{},,40,"{""3154245"": 10, ""1227988"": 10, ""1683861"": 10, ""2175528"": 0, ""1531491"": 10, ""1347768"": 0, ""1325134"": -10, ""1866661"": 0, ""3105437"": 0, ""1508178"": 10}",2,2,40,1,2,2,c6ngv30x,sep24-11:30-part1,,,,,0
2,t0q2jra3,,0,0,80,,,,,,0,,,0,2,{},{},{},,0,{},2,2,0,1,2,2,c6ngv30x,sep24-11:30-part1,,,,,0
3,358jr8oq,,0,80,80,unnamed_project,10,EndOfExperiment,150.210.231.20,2018-09-24 15:33:37.452481+00:00,1,,,400,3,"{""1227988"":""Approve"",""1325134"":""Approve"",""1347768"":""Approve"",""1508178"":""Approve"",""1531491"":""Reject"",""1683861"":""Approve"",""1866661"":""Reject"",""2175528"":""Reject"",""3105437"":""Approve"",""3154245"":""Approve""}","{""1227988"":""Approve"",""1325134"":""Approve"",""1347768"":""Approve"",""1508178"":""Approve"",""1531491"":""Reject"",""1683861"":""Approve"",""1866661"":""Reject"",""2175528"":""Reject"",""3105437"":""Approve"",""3154245"":""Approve""}",{},,10,"{""3154245"": 10, ""1227988"": 10, ""1683861"": -10, ""2175528"": 0, ""1531491"": 0, ""1347768"": 10, ""1325134"": -10, ""1866661"": 0, ""3105437"": 10, ""1508178"": -10}",2,2,10,1,2,2,c6ngv30x,sep24-11:30-part1,,,,,0
4,8cvc04gz,,0,80,80,unnamed_project,10,EndOfExperiment,150.210.231.20,2018-09-24 15:34:11.371838+00:00,1,,,460,4,"{""1227988"":""Reject"",""1325134"":""Approve"",""1347768"":""Reject"",""1508178"":""Reject"",""1531491"":""Reject"",""1683861"":""Reject"",""1866661"":""Reject"",""2175528"":""Reject"",""3105437"":""Approve"",""3154245"":""Approve""}","{""1227988"":""Approve"",""1325134"":""Approve"",""1347768"":""Reject"",""1508178"":""Approve"",""1531491"":""Approve"",""1683861"":""Approve"",""1866661"":""Approve"",""2175528"":""Reject"",""3105437"":""Reject"",""3154245"":""Approve""}","{""1227988"":""Reject"",""1325134"":""Approve"",""1347768"":""Reject"",""1508178"":""Reject"",""1531491"":""Reject"",""1683861"":""Reject"",""1866661"":""Reject"",""2175528"":""Reject"",""3105437"":""Approve"",""3154245"":""Approve""}",,30,"{""3154245"": 10, ""1227988"": 0, ""1683861"": 10, ""2175528"": 0, ""1531491"": 0, ""1347768"": 0, ""1325134"": -10, ""1866661"": 0, ""3105437"": 10, ""1508178"": 10}",2,2,30,1,2,2,c6ngv30x,sep24-11:30-part1,,,,,0
5,49t42mv8,,0,80,80,unnamed_project,10,EndOfExperiment,150.210.231.20,2018-09-24 15:33:09.147859+00:00,1,,,450,5,"{""1227988"":""Reject"",""1325134"":""Approve"",""1347768"":""Reject"",""1508178"":""Reject"",""1531491"":""Reject"",""1683861"":""Reject"",""1866661"":""Reject"",""2175528"":""Reject"",""3105437"":""Reject"",""3154245"":""Approve""}","{""1227988"":""Reject"",""1325134"":""Approve"",""1347768"":""Reject"",""1508178"":""Reject"",""1531491"":""Approve"",""1683861"":""Reject"",""1866661"":""Approve"",""2175528"":""Reject"",""3105437"":""Approve"",""3154245"":""Reject""}","{""1227988"":""Reject"",""1325134"":""Approve"",""1347768"":""Reject"",""1508178"":""Reject"",""1531491"":""Reject"",""1683861"":""Reject"",""1866661"":""Reject"",""2175528"":""Reject"",""3105437"":""Reject"",""3154245"":""Approve""}",,20,"{""3154245"": 10, ""1227988"": 0, ""1683861"": 10, ""2175528"": 0, ""1531491"": 0, ""1347768"": 0, ""1325134"": -10, ""1866661"": 0, ""3105437"": 0, ""1508178"": 10}",2,2,20,1,2,2,c6ngv30x,sep24-11:30-part1,,,,,0
6,xov5hjox,,0,80,80,unnamed_project,10,EndOfExperiment,150.210.231.20,2018-09-24 15:35:13.184022+00:00,1,,,450,6,"{""1227988"":""Approve"",""1325134"":""Approve"",""1347768"":""Reject"",""1508178"":""Approve"",""1531491"":""Reject"",""1683861"":""Approve"",""1866661"":""Reject"",""2175528"":""Reject"",""3105437"":""Reject"",""3154245"":""Reject""}","{""1227988"":""Approve"",""1325134"":""Approve"",""1347768"":""Reject"",""1508178"":""Approve"",""1531491"":""Reject"",""1683861"":""Approve"",""1866661"":""Reject"",""2175528"":""Reject"",""3105437"":""Reject"",""3154245"":""Reject""}",{},,-20,"{""3154245"": 0, ""1227988"": 10, ""1683861"": -10, ""2175528"": 0, ""1531491"": 0, ""1347768"": 0, ""1325134"": -10, ""1866661"": 0, ""3105437"": 0, ""1508178"": -10}",2,2,-20,1,2,2,c6ngv30x,sep24-11:30-part1,,,,,0
7,4qwb2mjv,,0,0,80,,,,,,0,,,0,7,{},{},{},,0,{},2,2,0,1,2,2,c6ngv30x,sep24-11:30-part1,,,,,0
8,oh1ejy0h,,0,0,80,,,,,,0,,,0,8,{},{},{},,0,{},2,2,0,1,2,2,c6ngv30x,sep24-11:30-part1,,,,,0
9,h1zrsuuv,,0,0,80,,,,,,0,,,0,9,{},{},{},,0,{},2,2,0,1,2,2,c6ngv30x,sep24-11:30-part1,,,,,0
10,inw3xrnp,,0,0,80,,,,,,0,,,0,10,{},{},{},,0,{},2,2,0,1,2,2,c6ngv30x,sep24-11:30-part1,,,,,0
