"","round","loan_id","p1_dec","p2_dec","p3_dec","p4_dec","p5_dec","p6_dec","p7_dec","p8_dec","p9_dec","p10_dec"
"91",10,"1290462","Approve",NA,"Reject","Reject","Reject","Approve",NA,NA,NA,NA
"92",10,"1328666","Approve",NA,"Approve","Reject","Reject","Approve",NA,NA,NA,NA
"93",10,"1427798","Approve",NA,"Approve","Reject","Approve","Reject",NA,NA,NA,NA
"94",10,"1454668","Approve",NA,"Approve","Approve","Reject","Approve",NA,NA,NA,NA
"95",10,"1508682","Approve",NA,"Approve","Approve","Approve","Reject",NA,NA,NA,NA
"96",10,"1528128","Reject",NA,"Reject","Reject","Reject","Reject",NA,NA,NA,NA
"97",10,"1592631","Approve",NA,"Approve","Approve","Approve","Approve",NA,NA,NA,NA
"98",10,"2604708","Reject",NA,"Approve","Approve","Approve","Reject",NA,NA,NA,NA
"99",10,"3151559","Approve",NA,"Approve","Reject","Reject","Reject",NA,NA,NA,NA
"100",10,"3157428","Reject",NA,"Approve","Approve","Approve","Approve",NA,NA,NA,NA
"101",1,"1334596","Reject",NA,NA,NA,NA,NA,NA,NA,NA,NA
"102",1,"1438057","Approve",NA,NA,NA,NA,NA,NA,NA,NA,NA
"103",1,"1439480","Approve",NA,NA,NA,NA,NA,NA,NA,NA,NA
"104",1,"1470353","Reject",NA,NA,NA,NA,NA,NA,NA,NA,NA
"105",1,"1529432","Approve",NA,NA,NA,NA,NA,NA,NA,NA,NA
"106",1,"1534293","Reject",NA,NA,NA,NA,NA,NA,NA,NA,NA
"107",1,"1625556","Approve",NA,NA,NA,NA,NA,NA,NA,NA,NA
"108",1,"1857226","Reject",NA,NA,NA,NA,NA,NA,NA,NA,NA
"109",1,"3158207","Reject",NA,NA,NA,NA,NA,NA,NA,NA,NA
"110",1,"3235599","Approve",NA,NA,NA,NA,NA,NA,NA,NA,NA
"111",10,"1290462","Approve",NA,"Reject",NA,"Reject","Approve",NA,NA,NA,NA
"112",10,"1328666","Approve",NA,"Approve",NA,"Reject","Approve",NA,NA,NA,NA
"113",10,"1427798","Approve",NA,"Reject",NA,"Reject","Approve",NA,NA,NA,NA
"114",10,"1454668","Approve",NA,"Approve",NA,"Approve","Approve",NA,NA,NA,NA
"115",10,"1508682","Approve",NA,"Approve",NA,"Approve","Reject",NA,NA,NA,NA
"116",10,"1528128","Reject",NA,"Reject",NA,"Reject","Reject",NA,NA,NA,NA
"117",10,"1592631","Reject",NA,"Approve",NA,"Approve","Approve",NA,NA,NA,NA
"118",10,"2604708","Reject",NA,"Approve",NA,"Approve","Approve",NA,NA,NA,NA
"119",10,"3151559","Approve",NA,"Approve",NA,"Approve","Approve",NA,NA,NA,NA
